;deputado_id;deputado_nome;deputado_siglaPartido;Cluster;income;freq
1662;204533;Idilvan Alencar;PDT;2;531331-284;0.0
1793;204360;Silvia Cristina;PDT;1;2166595-59;1.0
105;204360;Silvia Cristina;PDT;1;2293449-187;1.0
316;204360;Silvia Cristina;PDT;1;2275537-117;1.0
1582;204360;Silvia Cristina;PDT;1;531331-284;0.0
31;141411;Dagoberto Nogueira;PDT;2;2293449-187;0.0
29;133968;Paulo Ramos;PDT;2;2293449-187;0.0
1873;204533;Idilvan Alencar;PDT;2;2166595-59;1.0
1720;141439;Chico D`Angelo;PDT;2;2166595-59;0.0
1876;204541;Eduardo Bismarck;PDT;1;2166595-59;1.0
1719;141411;Dagoberto Nogueira;PDT;2;2166595-59;1.0
1717;133968;Paulo Ramos;PDT;2;2166595-59;1.0
185;204533;Idilvan Alencar;PDT;2;2293449-187;0.0
243;141439;Chico D`Angelo;PDT;2;2275537-117;0.0
188;204541;Eduardo Bismarck;PDT;1;2293449-187;1.0
242;141411;Dagoberto Nogueira;PDT;2;2275537-117;1.0
32;141439;Chico D`Angelo;PDT;2;2293449-187;0.0
1665;204541;Eduardo Bismarck;PDT;1;531331-284;0.0
1509;141439;Chico D`Angelo;PDT;2;531331-284;0.0
5;73486;Pompeo de Mattos;PDT;2;2293449-187;0.0
216;73486;Pompeo de Mattos;PDT;2;2275537-117;1.0
1506;133968;Paulo Ramos;PDT;2;531331-284;0.0
240;133968;Paulo Ramos;PDT;2;2275537-117;1.0
1693;73486;Pompeo de Mattos;PDT;2;2166595-59;1.0
1508;141411;Dagoberto Nogueira;PDT;2;531331-284;0.0
290;178928;Christiane de Souza Yared;PL;1;2275537-117;1.0
288;178924;Capitão Fábio Abreu;PL;0;2275537-117;0.0
1765;178924;Capitão Fábio Abreu;PL;0;2166595-59;1.0
724;178985;Miguel Lombardi;PL;0;2165194-130;1.0
241;135054;Cristiano Vale;PL;0;2275537-117;0.0
1132;178924;Capitão Fábio Abreu;PL;0;2210757-93;1.0
1134;178928;Christiane de Souza Yared;PL;1;2210757-93;1.0
712;178928;Christiane de Souza Yared;PL;1;2165194-130;1.0
499;178924;Capitão Fábio Abreu;PL;0;2275537-102;0.0
501;178928;Christiane de Souza Yared;PL;1;2275537-102;1.0
710;178924;Capitão Fábio Abreu;PL;0;2165194-130;1.0
723;178983;Marcio Alvino;PL;0;2165194-130;1.0
1767;178928;Christiane de Souza Yared;PL;1;2166595-59;1.0
1292;115746;Gelson Azevedo;PL;0;531331-317;1.0
480;160673;Giovani Cherini;PL;0;2275537-102;0.0
1115;162332;Luiz Nishimori;PL;0;2210757-93;1.0
1357;178985;Miguel Lombardi;PL;0;531331-317;1.0
221;74052;Bosco Costa;PL;0;2275537-117;0.0
1113;160673;Giovani Cherini;PL;0;2210757-93;1.0
1778;178983;Marcio Alvino;PL;0;2166595-59;1.0
1779;178985;Miguel Lombardi;PL;0;2166595-59;1.0
472;160591;Vinicius Gurgel;PL;1;2275537-102;1.0
1105;160591;Vinicius Gurgel;PL;1;2210757-93;1.0
301;178983;Marcio Alvino;PL;0;2275537-117;0.0
1276;74052;Bosco Costa;PL;0;531331-317;1.0
302;178985;Miguel Lombardi;PL;0;2275537-117;0.0
1085;135054;Cristiano Vale;PL;0;2210757-93;1.0
482;162332;Luiz Nishimori;PL;0;2275537-102;0.0
1356;178983;Marcio Alvino;PL;0;531331-317;1.0
1145;178983;Marcio Alvino;PL;0;2210757-93;1.0
142;204438;Sergio Toledo;PL;0;2293449-187;1.0
1503;115746;Gelson Azevedo;PL;0;531331-284;0.0
1316;160591;Vinicius Gurgel;PL;1;531331-317;1.0
1324;160673;Giovani Cherini;PL;0;531331-317;1.0
1197;204438;Sergio Toledo;PL;0;2210757-93;1.0
659;115746;Gelson Azevedo;PL;0;2165194-130;1.0
1714;115746;Gelson Azevedo;PL;0;2166595-59;1.0
663;135054;Cristiano Vale;PL;0;2165194-130;1.0
1326;162332;Luiz Nishimori;PL;0;531331-317;1.0
1718;135054;Cristiano Vale;PL;0;2166595-59;1.0
237;115746;Gelson Azevedo;PL;0;2275537-117;0.0
1296;135054;Cristiano Vale;PL;0;531331-317;1.0
261;160591;Vinicius Gurgel;PL;1;2275537-117;0.0
564;204438;Sergio Toledo;PL;0;2275537-102;0.0
1748;162332;Luiz Nishimori;PL;0;2166595-59;1.0
683;160591;Vinicius Gurgel;PL;1;2165194-130;1.0
1343;178924;Capitão Fábio Abreu;PL;0;531331-317;1.0
1345;178928;Christiane de Souza Yared;PL;1;531331-317;1.0
1738;160591;Vinicius Gurgel;PL;1;2166595-59;1.0
1408;204438;Sergio Toledo;PL;0;531331-317;1.0
691;160673;Giovani Cherini;PL;0;2165194-130;1.0
693;162332;Luiz Nishimori;PL;0;2165194-130;1.0
1746;160673;Giovani Cherini;PL;0;2166595-59;1.0
269;160673;Giovani Cherini;PL;0;2275537-117;0.0
513;178985;Miguel Lombardi;PL;0;2275537-102;0.0
512;178983;Marcio Alvino;PL;0;2275537-102;0.0
1146;178985;Miguel Lombardi;PL;0;2210757-93;1.0
271;162332;Luiz Nishimori;PL;0;2275537-117;1.0
1698;74052;Bosco Costa;PL;0;2166595-59;1.0
1619;204438;Sergio Toledo;PL;0;531331-284;0.0
1081;115746;Gelson Azevedo;PL;0;2210757-93;1.0
643;74052;Bosco Costa;PL;0;2165194-130;1.0
921;178924;Capitão Fábio Abreu;PL;0;2210757-104;1.0
1556;178928;Christiane de Souza Yared;PL;1;531331-284;0.0
432;74052;Bosco Costa;PL;0;2275537-102;0.0
1554;178924;Capitão Fábio Abreu;PL;0;531331-284;0.0
1830;204438;Sergio Toledo;PL;0;2166595-59;1.0
60;162332;Luiz Nishimori;PL;0;2293449-187;1.0
58;160673;Giovani Cherini;PL;0;2293449-187;1.0
50;160591;Vinicius Gurgel;PL;1;2293449-187;1.0
923;178928;Christiane de Souza Yared;PL;1;2210757-104;1.0
986;204438;Sergio Toledo;PL;0;2210757-104;1.0
854;74052;Bosco Costa;PL;0;2210757-104;1.0
1537;162332;Luiz Nishimori;PL;0;531331-284;0.0
1507;135054;Cristiano Vale;PL;0;531331-284;0.0
1487;74052;Bosco Costa;PL;0;531331-284;0.0
904;162332;Luiz Nishimori;PL;0;2210757-104;1.0
30;135054;Cristiano Vale;PL;0;2293449-187;1.0
870;115746;Gelson Azevedo;PL;0;2210757-104;1.0
902;160673;Giovani Cherini;PL;0;2210757-104;1.0
26;115746;Gelson Azevedo;PL;0;2293449-187;1.0
874;135054;Cristiano Vale;PL;0;2210757-104;1.0
1535;160673;Giovani Cherini;PL;0;531331-284;0.0
935;178985;Miguel Lombardi;PL;0;2210757-104;1.0
10;74052;Bosco Costa;PL;0;2293449-187;1.0
1527;160591;Vinicius Gurgel;PL;1;531331-284;0.0
353;204438;Sergio Toledo;PL;0;2275537-117;0.0
894;160591;Vinicius Gurgel;PL;1;2210757-104;1.0
77;178924;Capitão Fábio Abreu;PL;0;2293449-187;1.0
79;178928;Christiane de Souza Yared;PL;1;2293449-187;1.0
934;178983;Marcio Alvino;PL;0;2210757-104;1.0
90;178983;Marcio Alvino;PL;0;2293449-187;1.0
91;178985;Miguel Lombardi;PL;0;2293449-187;1.0
1568;178985;Miguel Lombardi;PL;0;531331-284;0.0
452;135054;Cristiano Vale;PL;0;2275537-102;0.0
775;204438;Sergio Toledo;PL;0;2165194-130;1.0
448;115746;Gelson Azevedo;PL;0;2275537-102;0.0
1065;74052;Bosco Costa;PL;0;2210757-93;1.0
1567;178983;Marcio Alvino;PL;0;531331-284;0.0
93;178989;Renata Abreu;PODE;1;2293449-187;0.0
1896;215043;Josivaldo JP;PODE;1;2166595-59;1.0
1781;178989;Renata Abreu;PODE;1;2166595-59;1.0
526;204359;Léo Moraes;PODE;2;2275537-102;1.0
315;204359;Léo Moraes;PODE;2;2275537-117;1.0
578;204472;José Medeiros;PODE;0;2275537-102;0.0
1422;204472;José Medeiros;PODE;0;531331-317;1.0
789;204472;José Medeiros;PODE;0;2165194-130;1.0
1052;215043;Josivaldo JP;PODE;1;2210757-104;1.0
367;204472;José Medeiros;PODE;0;2275537-117;0.0
156;204472;José Medeiros;PODE;0;2293449-187;1.0
104;204359;Léo Moraes;PODE;2;2293449-187;0.0
1633;204472;José Medeiros;PODE;0;531331-284;1.0
1474;215043;Josivaldo JP;PODE;1;531331-317;1.0
1792;204359;Léo Moraes;PODE;2;2166595-59;1.0
948;204359;Léo Moraes;PODE;2;2210757-104;1.0
937;178989;Renata Abreu;PODE;1;2210757-104;1.0
304;178989;Renata Abreu;PODE;1;2275537-117;0.0
1570;178989;Renata Abreu;PODE;1;531331-284;1.0
1159;204359;Léo Moraes;PODE;2;2210757-93;1.0
1341;178920;Ricardo Teobaldo;PODE;0;531331-317;1.0
1148;178989;Renata Abreu;PODE;1;2210757-93;1.0
515;178989;Renata Abreu;PODE;1;2275537-102;1.0
726;178989;Renata Abreu;PODE;1;2165194-130;1.0
75;178920;Ricardo Teobaldo;PODE;0;2293449-187;0.0
1370;204359;Léo Moraes;PODE;2;531331-317;0.0
286;178920;Ricardo Teobaldo;PODE;0;2275537-117;0.0
208;215043;Josivaldo JP;PODE;1;2293449-187;1.0
1763;178920;Ricardo Teobaldo;PODE;0;2166595-59;1.0
1130;178920;Ricardo Teobaldo;PODE;0;2210757-93;1.0
737;204359;Léo Moraes;PODE;2;2165194-130;1.0
497;178920;Ricardo Teobaldo;PODE;0;2275537-102;0.0
1263;215043;Josivaldo JP;PODE;1;2210757-93;1.0
1359;178989;Renata Abreu;PODE;1;531331-317;1.0
1552;178920;Ricardo Teobaldo;PODE;0;531331-284;1.0
1685;215043;Josivaldo JP;PODE;1;531331-284;1.0
708;178920;Ricardo Teobaldo;PODE;0;2165194-130;1.0
419;215043;Josivaldo JP;PODE;1;2275537-117;0.0
841;215043;Josivaldo JP;PODE;1;2165194-130;1.0
630;215043;Josivaldo JP;PODE;1;2275537-102;1.0
919;178920;Ricardo Teobaldo;PODE;0;2210757-104;1.0
1000;204472;José Medeiros;PODE;0;2210757-104;1.0
1844;204472;José Medeiros;PODE;0;2166595-59;1.0
1211;204472;José Medeiros;PODE;0;2210757-93;1.0
1581;204359;Léo Moraes;PODE;2;531331-284;1.0
1267;66828;Fausto Pinato;PP;0;531331-317;1.0
212;66828;Fausto Pinato;PP;0;2275537-117;0.0
1689;66828;Fausto Pinato;PP;0;2166595-59;1.0
640;73696;Angela Amin;PP;1;2165194-130;1.0
1695;73696;Angela Amin;PP;1;2166595-59;1.0
1;66828;Fausto Pinato;PP;0;2293449-187;1.0
910;178861;Ronaldo Carletto;PP;0;2210757-104;1.0
218;73696;Angela Amin;PP;1;2275537-117;1.0
634;66828;Fausto Pinato;PP;0;2165194-130;1.0
892;160570;Jerônimo Goergen;PP;1;2210757-104;1.0
7;73696;Angela Amin;PP;1;2293449-187;1.0
1075;74459;Átila Lira;PP;0;2210757-93;1.0
647;74253;Julio Lopes;PP;0;2165194-130;1.0
1069;74253;Julio Lopes;PP;0;2210757-93;1.0
755;204390;Professor Alcides;PP;0;2165194-130;1.0
1103;160570;Jerônimo Goergen;PP;1;2210757-93;1.0
776;204440;Christino Aureo;PP;0;2165194-130;1.0
1062;73696;Angela Amin;PP;1;2210757-93;1.0
122;204390;Professor Alcides;PP;0;2293449-187;1.0
1810;204390;Professor Alcides;PP;0;2166595-59;1.0
1056;66828;Fausto Pinato;PP;0;2210757-93;1.0
1121;178861;Ronaldo Carletto;PP;0;2210757-93;1.0
1831;204440;Christino Aureo;PP;0;2166595-59;1.0
66;178861;Ronaldo Carletto;PP;0;2293449-187;1.0
1754;178861;Ronaldo Carletto;PP;0;2166595-59;1.0
48;160570;Jerônimo Goergen;PP;1;2293449-187;1.0
1702;74253;Julio Lopes;PP;0;2166595-59;1.0
987;204440;Christino Aureo;PP;0;2210757-104;1.0
699;178861;Ronaldo Carletto;PP;0;2165194-130;1.0
143;204440;Christino Aureo;PP;0;2293449-187;1.0
1736;160570;Jerônimo Goergen;PP;1;2166595-59;1.0
858;74253;Julio Lopes;PP;0;2210757-104;1.0
966;204390;Professor Alcides;PP;0;2210757-104;1.0
864;74459;Átila Lira;PP;0;2210757-104;1.0
681;160570;Jerônimo Goergen;PP;1;2165194-130;1.0
1177;204390;Professor Alcides;PP;0;2210757-93;1.0
20;74459;Átila Lira;PP;0;2293449-187;1.0
14;74253;Julio Lopes;PP;0;2293449-187;1.0
1708;74459;Átila Lira;PP;0;2166595-59;1.0
653;74459;Átila Lira;PP;0;2165194-130;1.0
1198;204440;Christino Aureo;PP;0;2210757-93;1.0
845;66828;Fausto Pinato;PP;0;2210757-104;1.0
851;73696;Angela Amin;PP;1;2210757-104;1.0
1409;204440;Christino Aureo;PP;0;531331-317;1.0
470;160570;Jerônimo Goergen;PP;1;2275537-102;1.0
354;204440;Christino Aureo;PP;0;2275537-117;0.0
1478;66828;Fausto Pinato;PP;0;531331-284;0.0
1286;74459;Átila Lira;PP;0;531331-317;1.0
1620;204440;Christino Aureo;PP;0;531331-284;0.0
423;66828;Fausto Pinato;PP;0;2275537-102;0.0
1388;204390;Professor Alcides;PP;0;531331-317;1.0
488;178861;Ronaldo Carletto;PP;0;2275537-102;0.0
1273;73696;Angela Amin;PP;1;531331-317;1.0
1599;204390;Professor Alcides;PP;0;531331-284;1.0
1314;160570;Jerônimo Goergen;PP;1;531331-317;1.0
1543;178861;Ronaldo Carletto;PP;0;531331-284;0.0
442;74459;Átila Lira;PP;0;2275537-102;0.0
565;204440;Christino Aureo;PP;0;2275537-102;0.0
277;178861;Ronaldo Carletto;PP;0;2275537-117;0.0
544;204390;Professor Alcides;PP;0;2275537-102;0.0
333;204390;Professor Alcides;PP;0;2275537-117;0.0
1525;160570;Jerônimo Goergen;PP;1;531331-284;0.0
1497;74459;Átila Lira;PP;0;531331-284;0.5
259;160570;Jerônimo Goergen;PP;1;2275537-117;1.0
231;74459;Átila Lira;PP;0;2275537-117;0.0
1332;178861;Ronaldo Carletto;PP;0;531331-317;1.0
1491;74253;Julio Lopes;PP;0;531331-284;0.0
1280;74253;Julio Lopes;PP;0;531331-317;1.0
429;73696;Angela Amin;PP;1;2275537-102;1.0
1484;73696;Angela Amin;PP;1;531331-284;0.0
225;74253;Julio Lopes;PP;0;2275537-117;0.0
436;74253;Julio Lopes;PP;0;2275537-102;0.0
1730;160518;Weliton Prado;PROS;0;2166595-59;1.0
1308;160518;Weliton Prado;PROS;0;531331-317;1.0
82;178939;Clarissa Garotinho;PROS;1;2293449-187;1.0
42;160518;Weliton Prado;PROS;0;2293449-187;0.0
675;160518;Weliton Prado;PROS;0;2165194-130;1.0
417;213762;Carla Dickson;PROS;0;2275537-117;1.0
1430;204487;Capitão Wagner;PROS;1;531331-317;0.0
839;213762;Carla Dickson;PROS;0;2165194-130;1.0
253;160518;Weliton Prado;PROS;0;2275537-117;1.0
1641;204487;Capitão Wagner;PROS;1;531331-284;0.0
267;160640;Eros Biondini;PROS;1;2275537-117;1.0
1744;160640;Eros Biondini;PROS;1;2166595-59;1.0
1008;204487;Capitão Wagner;PROS;1;2210757-104;1.0
164;204487;Capitão Wagner;PROS;1;2293449-187;1.0
1770;178939;Clarissa Garotinho;PROS;1;2166595-59;1.0
1852;204487;Capitão Wagner;PROS;1;2166595-59;1.0
1348;178939;Clarissa Garotinho;PROS;1;531331-317;0.0
1050;213762;Carla Dickson;PROS;0;2210757-104;1.0
56;160640;Eros Biondini;PROS;1;2293449-187;1.0
797;204487;Capitão Wagner;PROS;1;2165194-130;1.0
689;160640;Eros Biondini;PROS;1;2165194-130;1.0
1322;160640;Eros Biondini;PROS;1;531331-317;1.0
1219;204487;Capitão Wagner;PROS;1;2210757-93;1.0
1559;178939;Clarissa Garotinho;PROS;1;531331-284;0.0
1111;160640;Eros Biondini;PROS;1;2210757-93;1.0
206;213762;Carla Dickson;PROS;0;2293449-187;1.0
900;160640;Eros Biondini;PROS;1;2210757-104;1.0
478;160640;Eros Biondini;PROS;1;2275537-102;1.0
1519;160518;Weliton Prado;PROS;0;531331-284;0.5
886;160518;Weliton Prado;PROS;0;2210757-104;1.0
1683;213762;Carla Dickson;PROS;0;531331-284;0.0
1533;160640;Eros Biondini;PROS;1;531331-284;0.0
1261;213762;Carla Dickson;PROS;0;2210757-93;1.0
1472;213762;Carla Dickson;PROS;0;531331-317;1.0
1097;160518;Weliton Prado;PROS;0;2210757-93;1.0
1894;213762;Carla Dickson;PROS;0;2166595-59;1.0
926;178939;Clarissa Garotinho;PROS;1;2210757-104;1.0
715;178939;Clarissa Garotinho;PROS;1;2165194-130;1.0
293;178939;Clarissa Garotinho;PROS;1;2275537-117;0.0
464;160518;Weliton Prado;PROS;0;2275537-102;0.0
1137;178939;Clarissa Garotinho;PROS;1;2210757-93;1.0
628;213762;Carla Dickson;PROS;0;2275537-102;0.0
586;204487;Capitão Wagner;PROS;1;2275537-102;1.0
504;178939;Clarissa Garotinho;PROS;1;2275537-102;1.0
375;204487;Capitão Wagner;PROS;1;2275537-117;1.0
80;178931;Luciano Ducci;PSB;0;2293449-187;1.0
1039;204561;Bira do Pindaré;PSB;1;2210757-104;1.0
1046;206231;Ted Conti;PSB;1;2210757-104;1.0
1773;178964;Heitor Schuch;PSB;2;2166595-59;1.0
1037;204558;Marcelo Nilo;PSB;1;2210757-104;1.0
481;161550;Emidinho Madeira;PSB;0;2275537-102;0.0
121;204389;Elias Vaz;PSB;1;2293449-187;0.0
445;76874;Marcelo Freixo;PSB;1;2275537-102;1.0
795;204483;Vilson da Fetaemg;PSB;1;2165194-130;1.0
1078;76874;Marcelo Freixo;PSB;1;2210757-93;1.0
1395;204405;Liziane Bayer;PSB;1;531331-317;1.0
762;204405;Liziane Bayer;PSB;1;2165194-130;1.0
441;74419;Gonzaga Patriota;PSB;1;2275537-102;1.0
758;204394;Gervásio Maia;PSB;1;2165194-130;1.0
1809;204389;Elias Vaz;PSB;1;2166595-59;1.0
85;178964;Heitor Schuch;PSB;2;2293449-187;0.0
1562;178964;Heitor Schuch;PSB;2;531331-284;0.0
1813;204394;Gervásio Maia;PSB;1;2166595-59;1.0
1391;204394;Gervásio Maia;PSB;1;531331-317;1.0
754;204389;Elias Vaz;PSB;1;2165194-130;1.0
1387;204389;Elias Vaz;PSB;1;531331-317;1.0
1428;204483;Vilson da Fetaemg;PSB;1;531331-317;1.0
296;178964;Heitor Schuch;PSB;2;2275537-117;1.0
1114;161550;Emidinho Madeira;PSB;0;2210757-93;1.0
1049;213274;Ricardo Silva;PSB;0;2210757-104;1.0
1074;74419;Gonzaga Patriota;PSB;1;2210757-93;1.0
828;204561;Bira do Pindaré;PSB;1;2165194-130;1.0
1557;178931;Luciano Ducci;PSB;0;531331-284;0.0
863;74419;Gonzaga Patriota;PSB;1;2210757-104;1.0
965;204389;Elias Vaz;PSB;1;2210757-104;1.0
867;76874;Marcelo Freixo;PSB;1;2210757-104;1.0
406;204561;Bira do Pindaré;PSB;1;2275537-117;1.0
1468;206231;Ted Conti;PSB;1;531331-317;1.0
404;204558;Marcelo Nilo;PSB;1;2275537-117;0.0
1471;213274;Ricardo Silva;PSB;0;531331-317;1.0
23;76874;Marcelo Freixo;PSB;1;2293449-187;0.0
1881;204558;Marcelo Nilo;PSB;1;2166595-59;1.0
19;74419;Gonzaga Patriota;PSB;1;2293449-187;0.0
1883;204561;Bira do Pindaré;PSB;1;2166595-59;1.0
1890;206231;Ted Conti;PSB;1;2166595-59;1.0
394;204530;Rodrigo Agostinho;PSB;2;2275537-117;1.0
392;204525;Rosana Valle;PSB;1;2275537-117;1.0
1893;213274;Ricardo Silva;PSB;0;2166595-59;1.0
929;178964;Heitor Schuch;PSB;2;2210757-104;1.0
903;161550;Emidinho Madeira;PSB;0;2210757-104;1.0
924;178931;Luciano Ducci;PSB;0;2210757-104;1.0
1496;74419;Gonzaga Patriota;PSB;1;531331-284;0.0
920;178922;Tadeu Alencar;PSB;1;2210757-104;1.0
373;204483;Vilson da Fetaemg;PSB;1;2275537-117;0.0
1461;204561;Bira do Pindaré;PSB;1;531331-317;1.0
969;204394;Gervásio Maia;PSB;1;2210757-104;1.0
1459;204558;Marcelo Nilo;PSB;1;531331-317;1.0
973;204405;Liziane Bayer;PSB;1;2210757-104;1.0
1817;204405;Liziane Bayer;PSB;1;2166595-59;1.0
1027;204530;Rodrigo Agostinho;PSB;2;2210757-104;1.0
1553;178922;Tadeu Alencar;PSB;1;531331-284;0.0
814;204525;Rosana Valle;PSB;1;2165194-130;1.0
816;204530;Rodrigo Agostinho;PSB;2;2165194-130;1.0
332;204389;Elias Vaz;PSB;1;2275537-117;1.0
1025;204525;Rosana Valle;PSB;1;2210757-104;1.0
59;161550;Emidinho Madeira;PSB;0;2293449-187;1.0
1850;204483;Vilson da Fetaemg;PSB;1;2166595-59;1.0
826;204558;Marcelo Nilo;PSB;1;2165194-130;1.0
76;178922;Tadeu Alencar;PSB;1;2293449-187;0.0
1006;204483;Vilson da Fetaemg;PSB;1;2210757-104;1.0
1447;204525;Rosana Valle;PSB;1;531331-317;1.0
336;204394;Gervásio Maia;PSB;1;2275537-117;1.0
838;213274;Ricardo Silva;PSB;0;2165194-130;1.0
1449;204530;Rodrigo Agostinho;PSB;2;531331-317;1.0
416;213274;Ricardo Silva;PSB;0;2275537-117;0.0
1869;204525;Rosana Valle;PSB;1;2166595-59;1.0
1871;204530;Rodrigo Agostinho;PSB;2;2166595-59;1.0
340;204405;Liziane Bayer;PSB;1;2275537-117;1.0
413;206231;Ted Conti;PSB;1;2275537-117;1.0
1536;161550;Emidinho Madeira;PSB;0;531331-284;0.0
835;206231;Ted Conti;PSB;1;2165194-130;1.0
125;204394;Gervásio Maia;PSB;1;2293449-187;0.0
584;204483;Vilson da Fetaemg;PSB;1;2275537-102;1.0
1768;178931;Luciano Ducci;PSB;0;2166595-59;1.0
193;204558;Marcelo Nilo;PSB;1;2293449-187;0.0
1217;204483;Vilson da Fetaemg;PSB;1;2210757-93;1.0
183;204530;Rodrigo Agostinho;PSB;2;2293449-187;0.0
181;204525;Rosana Valle;PSB;1;2293449-187;1.0
551;204405;Liziane Bayer;PSB;1;2275537-102;1.0
1707;74419;Gonzaga Patriota;PSB;1;2166595-59;1.0
652;74419;Gonzaga Patriota;PSB;1;2165194-130;1.0
547;204394;Gervásio Maia;PSB;1;2275537-102;1.0
656;76874;Marcelo Freixo;PSB;1;2165194-130;1.0
1711;76874;Marcelo Freixo;PSB;1;2166595-59;1.0
543;204389;Elias Vaz;PSB;1;2275537-102;1.0
1184;204405;Liziane Bayer;PSB;1;2210757-93;1.0
1325;161550;Emidinho Madeira;PSB;0;531331-317;1.0
1639;204483;Vilson da Fetaemg;PSB;1;531331-284;0.0
1180;204394;Gervásio Maia;PSB;1;2210757-93;1.0
1176;204389;Elias Vaz;PSB;1;2210757-93;1.0
162;204483;Vilson da Fetaemg;PSB;1;2293449-187;0.0
1342;178922;Tadeu Alencar;PSB;1;531331-317;1.0
1346;178931;Luciano Ducci;PSB;0;531331-317;1.0
1606;204405;Liziane Bayer;PSB;1;531331-284;0.0
692;161550;Emidinho Madeira;PSB;0;2165194-130;1.0
627;213274;Ricardo Silva;PSB;0;2275537-102;0.0
1747;161550;Emidinho Madeira;PSB;0;2166595-59;1.0
